SampleNumber,NameOfSite,BedId,LocalAuthority,GridReference,BedName,DateSampleCollected,DateSampleArrivedAtWeymouth,DateSampleArrivedAtBurnham,SpeciesSampled,PSPResultSTXequivalent,DSPResultNegative,DSPResultPositive,DomoicAcid,SampleNumber2
BTX/2001/0498,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2001-09-04,2001-09-05,2001-09-05,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0498
BTX/2001/0496,The Wash,,Boston Borough Council,,Friskney,2001-09-03,2001-09-05,2001-09-05,Cockles,ND,NEGATIVE,,<LOD,BTX/2001/0496
BTX/2001/0495,The Wash,B003D,Boston Borough Council,TF439377,The Gat,2001-09-03,2001-09-05,2001-09-05,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0495
BTX/2001/0499,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-09-04,2001-09-05,,Cockles,ND,NEGATIVE,,,BTX/2001/0499
BTX/2001/0500,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-09-04,2001-09-05,,Pacific oyster,ND,NEGATIVE,,,BTX/2001/0500
BTX/2001/0486,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2001-09-03,2001-09-04,,Cockles,,,POSITIVE,,BTX/2001/0486
BTX/2001/0487,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-09-03,2001-09-04,,Cockles,ND,NEGATIVE,,,BTX/2001/0487
BTX/2001/0485,Burry Inlet,,Carmarthenshire CC,,Machynys,2001-09-03,2001-09-04,,Cockles,,NEGATIVE,,,BTX/2001/0485
BTX/2001/0489,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2001-09-03,2001-09-04,,Cockles,,,POSITIVE,,BTX/2001/0489
BTX/2001/0490,Burry Inlet,B038K,City and Council of Swansea,SS487959,South side (Mid),2001-09-03,2001-09-04,,Cockles,,,POSITIVE,,BTX/2001/0490
BTX/2001/0488,Burry Inlet,B038Q,City and Council of Swansea,SS53639594,Ochor Draw,2001-09-03,2001-09-04,,Cockles,,,POSITIVE,,BTX/2001/0488
BTX/2001/0491,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2001-09-03,2001-09-04,,Cockles,,NEGATIVE,,,BTX/2001/0491
BTX/2001/0501,Colne,B012G,Colchester BC,TM070139,Wreck Marker,2001-09-04,2001-09-05,2001-09-05,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0501
BTX/2001/0492,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansac,2001-09-03,2001-09-05,2001-09-04,Native oysters,ND,NEGATIVE,,<LOD,BTX/2001/0492
BTX/2001/0469,Fal,B033Z,Falmouth PHA,SW84093878,T Pontoon,2001-08-29,2001-08-30,2001-08-30,Mussels,Reported last week,,,<LOD,BTX/2001/0469
BTX/2001/0468,Fal,B033T,Falmouth PHA,SW80243386,Penryn River - Meads,2001-08-29,2001-08-30,2001-08-30,Native oyster,Reported last week,,,<LOD,BTX/2001/0468
BTX/2001/0467,Fal,B033R,Falmouth PHA,SW85623321,Percuil,2001-08-29,2001-08-30,2001-08-30,Native oyster,Reported last week,,,<LOD,BTX/2001/0467
BTX/2001/0470,Fal,B033C,Falmouth PHA,SW84544276,Malpas,2001-08-29,2001-08-30,2001-08-30,Mussels,Reported last week,,,<LOD,BTX/2001/0470
BTX/2001/0480,Glaslyn/Dwyryd Estuary,B074B,Gwynedd County BC,SH579365,Dwyrd Estuary,2001-09-03,2001-09-04,,Cockles,ND,NEGATIVE,,,BTX/2001/0480
BTX/2001/0484,Roach,B)73H,London PHA,,Paglesham Reach,2001-09-03,2001-09-04,2001-09-04,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/0484
BTX/2001/0476,Blackwater,B013F,Maldon DC,TL98611115,Tollesbury North Fleet,2001-08-30,2001-09-04,2001-09-04,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/0476
BTX/2001/0479,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2001-09-03,2001-09-04,2001-09-04,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0479
BTX/2001/0493,Milford Haven,,Pembrokeshire CC,SN010062,Lawrenny Quay,2001-09-03,,2001-09-04,Mussels,,,,<LOD,BTX/2001/0493
BTX/2001/0494,St Ives Bay,B088E,Penwith DC,SW53403880,Carrack Gladden,2001-09-03,2001-09-05,2001-09-04,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0494
BTX/2001/0475,St Ives Bay,B088B,Penwith DC,SW58134283,Godrevy Cove,2001-09-03,2001-09-04,2001-09-04,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0475
BTX/2001/0502,Salcombe,B030C,South Hams DC,SX7554148,Geese Quarries,2001-09-03,2001-09-05,2001-09-05,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0502
BTX/2001/0482,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2001-09-03,2001-09-04,2001-09-04,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/0482
BTX/2001/0481,Southampton Water,B021D,Southampton PHA,SU453077,Netley,2001-09-03,2001-09-04,2001-09-04,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/0481
BTX/2001/0483,Southampton Water,B021F,Southampton PHA,SU479053,Hamble Estuary,2001-09-03,2001-09-04,2001-09-04,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/0483
BTX/2001/0477,Teign,B027V,Teignbridge DC,SX91417275,Gappa Bank,2001-09-03,2001-09-04,2001-09-04,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0477
BTX/2001/0478,Exe,B26AA,Teignbridge DC,SX977809,Pool,2001-09-03,2001-09-04,2001-09-04,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/0478
BTX/2001/0497,Walton Backwaters,B011G,Tendering DC ,TM22142478,Kirby Creek,2001-09-04,2001-09-05,2001-09-05,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/0497
BTX/2001/0472,Weymouth Inner Harbour,,Weymouth PHA,,Inner Harbour,2001-08-31,2001-08-31,,Mussels,ND,,,,BTX/2001/0472
BTX/2001/0471,Anglesey - Red Wharf Bay,B057F,Ynys Mon CC,,Y Swynt Moelfre,2001-08-30,2001-08-31,,Mussels,,NEGATIVE,,,BTX/2001/0471
BTX/2001/0474,Anglesey - Red Wharf Bay,B057G,Ynys Mon County BC,,Penrhan Point,2001-08-31,2001-09-03,,Mussels,,NEGATIVE,,,BTX/2001/0474
BTX/2001/0473,Anglesey - Red Wharf Bay,B057A,Ynys Mon County BC,SH54008085,Traeth Coch,2001-08-30,2001-09-03,,Mussels,,,,,BTX/2001/0473
BTX/2001/503,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2001-09-04,2001-09-06,,Native oysters,ND,NEGATIVE,,<LOD,BTX/2001/503
BTX/2001/504,The Solent,B24AX,Portsmouth PHA,SZ62239847,Haslar Wall,2001-09-04,2001-09-06,,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/504
BTX/2001/505,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2001-09-04,2001-09-06,,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/505
BTX/2001/506,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2001-09-04,2001-09-06,,Pacific oysters,ND,NEGATIVE,,<LOD,BTX/2001/506
BTX/2001/507,Taw/Torridge,B036Q,Taw-Torridge DC,SS466305,Appledore ,2001-09-05,2001-09-06,,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/507
BTX/2001/508,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2001-09-04,2001-09-06,,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/508
BTX/2001/509,Camel,B035J,North Cornwall DC,SW939747,Gentle Jane,2001-09-05,2001-09-06,,Mussels,ND,NEGATIVE,,,BTX/2001/509
BTX/2001/510,Silloth,B059E,Allerdale DC,NY076517,Silloth,2001-09-05,2001-09-06,,Mussels,,NEGATIVE,,<LOD,BTX/2001/510
BTX/2001/511,Brixham,B082A,Torbay BC,SX91285739,Fishcombe Cove,2001-09-05,2001-09-07,2001-09-06,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/511
BTX/2001/512,Camel,B035J,North Cornwall DC,SW92417788,Trebetherick Rocks,2001-09-05,,2001-09-06,Mussels,,,,<LOD,BTX/2001/512
BTX/2001/513,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2001-09-05,2001-09-07,2001-09-06,Cockles,ND,NEGATIVE,,<LOD,BTX/2001/513
BTX/2001/514,The Thames,B16BQ,London PHA,TM08800210,Buxey No 4,2001-09-05,2001-09-07,2001-09-06,Cockles,ND,NEGATIVE,,<LOD,BTX/2001/514
BTX/2001/515,The Thames,,London PHA,,Corporation Jetty,2001-09-06,2001-09-07,2001-09-06,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/515
BTX/2001/516,The Wash,B004F,Kings Lynn & W Norfolk BC,TF602342,Pandora,2001-09-05,2001-09-07,,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/516
BTX/2001/517,The Wash,,Kings Lynn & W Norfolk BC,,Daselys Sand,2001-09-05,2001-09-07,,Cockles,,NEGATIVE,,<LOD,BTX/2001/517
BTX/2001/518,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2001-09-05,2001-09-07,,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/518
BTX/2001/519,Ribble,B046C,W. Lancs DC,SD328259,Salters Bank,2001-09-05,2001-09-07,,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/519
BTX/2001/520,Milford Haven,,Pembrokeshire CC,SN010062,Lawrenny Quay,2001-09-03,2001-09-10,,Mussels,Unsuitable for testing (DOA),,,,BTX/2001/520
BTX/2001/521,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-09-09,2001-09-11,,Cockles,ND,NEGATIVE,,,BTX/2001/521
BTX/2001/522,Three Rivers,B071E,Carmarthenshire CC,SN357073,St Ishmaels,2001-09-09,2001-09-11,2001-09-12,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/522
BTX/2001/531,Blakeney,B006C,North Norfolk DC,TF990453,Simpool,2001-09-11,2001-09-12,2001-09-12,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/531
BTX/2001/534,Colne,B012E,Colchester BC,,Free Ground,2001-09-11,2001-09-12,2001-09-12,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/534
BTX/2001/535,Colne,B012E,Colchester BC,,Salcott Channel,2001-09-11,2001-09-12,2001-09-13,Native oyster,ND,NEGATIVE,,<LOD,BTX/2001/535
BTX/2001/536,Colne,B012G,Colchester BC,,Strood Channel,2001-09-11,2001-09-12,2001-09-12,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/536
BTX/2001/541,The Thames,B076F,London PHA,TR042651,River Swale #6,2001-09-11,2001-09-12,2001-09-12,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/541
BTX/2001/525,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2001-09-10,2001-09-11,2001-09-12,Cockles,,,POSITIVE,<LOD,BTX/2001/525
BTX/2001/526,Pegwell Bay,B016A,Thanet DC,TR353638,Pegwell Bay,2001-09-10,2001-09-11,2001-09-12,Cockles,,NEGATIVE,,<LOD,BTX/2001/526
BTX/2001/532,Chichester Harbour,B018E,Havant BC,SU746005,Mill Rythe,2001-09-11,2001-09-12,,Native oyster,ND,PSP only,,,BTX/2001/532
BTX/2001/533,Lymington River,B24AF,New Forest DC,SZ34809375,No. 3 Post,2001-09-11,2001-09-12,2001-09-12,Native oysters,ND,NEGATIVE,,<LOD,BTX/2001/533
BTX/2001/537,Poole,,Poole Borough Council,,South Deep,2001-09-11,2001-09-12,2001-09-12,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/537
BTX/2001/530,Weymouth Inner Harbour,,Weymouth PHA,,Inner Harbour,2001-09-11,2001-09-11,,Mussels,ND,NEGATIVE,,,BTX/2001/530
BTX/2001/538,Falmouth Bay,EC34,Falmouth and Truro PHA,EC34,Falmouth Bay,2001-09-11,2001-09-12,,Scallop,ND,NEGATIVE,,,BTX/2001/538
BTX/2001/539,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansac,2001-09-11,2001-09-12,2001-09-12,Native oysters,ND,NEGATIVE,,<LOD,BTX/2001/539
BTX/2001/528,Three Rivers,,Carmarthenshire CC,,Machynys,2001-09-09,2001-09-11,,Cockles,,NEGATIVE,,,BTX/2001/528
BTX/2001/527,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2001-09-09,2001-09-11,,Cockles,,NEGATIVE,,,BTX/2001/527
BTX/2001/529,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-09-09,2001-09-11,2001-09-12,Cockles,,NEGATIVE,,<LOD,BTX/2001/529
BTX/2001/545,Burry Inlet,B038Q,City and Council of Swansea,SS53639594,Ochor Draw,2001-09-11,2001-09-13,,Cockles,DSP only,NEGATIVE,,DSP only,BTX/2001/545
BTX/2001/546,Burry Inlet,B038K,City and Council of Swansea,SS487959,South side (Mid),2001-09-11,2001-09-13,,Cockles,DSP only,NEGATIVE,,DSP only,BTX/2001/546
BTX/2001/547,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2001-09-11,2001-09-13,,Cockles,DSP only,NEGATIVE,,DSP only,BTX/2001/547
BTX/2001/548,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2001-09-11,2001-09-13,,Cockles,DSP only,,POSITIVE,DSP only,BTX/2001/548
BTX/2001/540,Anglesey - Red Wharf Bay,B057A,Ynys Mon County BC,SH54008085,Traeth Coch,2001-09-11,2001-09-12,,Mussels,ND,NEGATIVE,,,BTX/2001/540
BTX/2001/542,Liverpool Bay- N. Wirral,B058D,Mersey PHA,SJ250920,Leasowe Lighthouse,2001-09-11,,2001-09-12,Mussels,,,,<LOD,BTX/2001/542
BTX/2001/524,Morecambe Bay - Barrow,B077B,Barrow BC,SD185706,Cocken Tunnel,2001-09-10,2001-09-11,2001-09-12,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/524
BTX/2001/523,Morecambe Bay - Roa Island,B077D,Barrow BC,SD233647,Roa Island,2001-09-10,2001-09-11,2001-09-12,Mussels,ND,NEGATIVE,,<LOD,BTX/2001/523
BTX/2001/0555,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2001-09-17,2001-09-18,2001-09-18,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0555
BTX/2001/0573,Brancaster,B005S,Kings Lynn & W Norfolk BC,TF815457,Norton Creek,2001-09-18,2001-09-19,2001-09-19,Mussels,,,NEGATIVE,<LOD,BTX/2001/0573
BTX/2001/0556,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-09-16,2001-09-18,,Clam,ND,,NEGATIVE,,BTX/2001/0556
BTX/2001/0557,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-09-16,2001-09-18,,Cockles,ND,,NEGATIVE,,BTX/2001/0557
BTX/2001/0558,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-09-16,2001-09-18,,Pacific oyster,ND,,NEGATIVE,,BTX/2001/0558
BTX/2001/0577,The Thames,B16BR,London PHA,TQ92208250,Phoenix,2001-09-18,2001-09-19,2001-09-19,Cockles,ND,,NEGATIVE,<LOD,BTX/2001/0577
BTX/2001/0572,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2001-09-18,2001-09-19,,Cockles,,,NEGATIVE,,BTX/2001/0572
BTX/2001/0551,Weymouth,,Weymouth PHA,SY66597623,Fleet Lagoon,2001-09-17,2001-09-17,2001-09-19,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0551
BTX/2001/0553,Yealm,B031E,Plymouth PHA,SX544494,Fox cove,2001-09-17,2001-09-18,2001-09-18,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0553
BTX/2001/0569,Plymouth,B032L,Plymouth PHA,SX407567,Lynher - Shillingham,2001-09-18,2001-09-19,2001-09-19,Mussels,,,NEGATIVE,<LOD,BTX/2001/0569
BTX/2001/0570,Dart,B028B,South Hams DC,SX87405598,Waddeton,2001-09-18,2001-09-19,2001-09-19,Mussels,,,NEGATIVE,<LOD,BTX/2001/0570
BTX/2001/0574,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2001-09-18,2001-09-19,,Mussels,ND,,,,BTX/2001/0574
BTX/2001/0575,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2001-09-18,2001-09-19,,Pacific oysters,ND,,,,BTX/2001/0575
BTX/2001/0559,Fal,B033C,Falmouth PHA,SW84544276,Malpas,2001-09-17,2001-09-18,2001-09-18,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0559
BTX/2001/0560,Fal,B033Z,Falmouth PHA,SW84093878,T Pontoon,2001-09-17,2001-09-18,2001-09-18,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0560
BTX/2001/0561,Fal,B033R,Falmouth PHA,SW85623321,Percuil,2001-09-17,2001-09-18,2001-09-18,Native oyster,ND,,NEGATIVE,<LOD,BTX/2001/0561
BTX/2001/0562,Fal,B033T,Falmouth PHA,SW80243386,Penryn River - Meads,2001-09-17,2001-09-18,2001-09-18,Native oyster,ND,,NEGATIVE,<LOD,BTX/2001/0562
BTX/2001/0571,Camel,B035J,North Cornwall DC,SW939747,Gentle Jane,2001-09-18,2001-09-19,,Mussels,ND,,,,BTX/2001/0571
BTX/2001/0576,Camel,B035J,North Cornwall DC,SW92417788,Trebetherick Rocks,2001-09-18,,2001-09-19,Mussels,,,,<LOD,BTX/2001/0576
BTX/2001/0567,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2001-09-18,2001-09-18,2001-09-19,Mussels,ND,,,<LOD,BTX/2001/0567
BTX/2001/0568,Milford Haven,,Pembrokeshire CC,SN010062,Lawrenny Quay,2001-09-18,2001-09-19,2001-09-19,Mussels,,,NEGATIVE,<LOD,BTX/2001/0568
BTX/2001/0578,Burry Inlet,B038I,City and Council of Swansea,SS505959,South side (East),2001-09-18,2001-09-19,,Cockles,,,NEGATIVE,,BTX/2001/0578
BTX/2001/0579,Burry Inlet,B038K,City and Council of Swansea,SS487959,South side (Mid),2001-09-18,2001-09-19,,Cockles,,,NEGATIVE,,BTX/2001/0579
BTX/2001/0580,Burry Inlet,B038J,City and Council of Swansea,SS472961,South side (West),2001-09-18,2001-09-19,,Cockles,,POSITIVE,,,BTX/2001/0580
BTX/2001/0581,Burry Inlet,B038Q,City and Council of Swansea,SS53639594,Ochor Draw,2001-09-18,2001-09-19,,Cockles,,POSITIVE,,,BTX/2001/0581
BTX/2001/0564,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2001-09-17,2001-09-18,,Cockles,,,NEGATIVE,,BTX/2001/0564
BTX/2001/0565,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-09-17,2001-09-18,,Cockles,,,NEGATIVE,,BTX/2001/0565
BTX/2001/0566,Burry Inlet,B038G,Carmarthenshire C C,SS498981,Machynys,2001-09-17,2001-09-18,,Cockles,,,NEGATIVE,,BTX/2001/0566
BTX/2001/0563,Menai Strait West,B042A,Ynys Mon CC,SH47906510,Barras Is.,,,2001-09-18,Mussels,,,,<LOD,BTX/2001/0563
BTX/2001/0552,Anglesey - Red Wharf Bay,B057A,Ynys Mon County BC,SH54008085,Traeth Coch,2001-09-17,2001-09-18,,Cockles,,,NEGATIVE,,BTX/2001/0552
BTX/2001/0554,Morecambe Bay - East,B047D,Lancaster CC,SD407628,Heysham Flat Skeer,,2001-09-18,2001-09-18,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0554
BTX/2001/0587,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2001-09-24,2001-09-25,2001-09-25,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0587
BTX/2001/0588,Butley,B009A,Suffolk Coastal DC,TM397487,Butley Creek,2001-09-24,2001-09-25,2001-09-25,Pacific oysters,ND,,,<LOD,BTX/2001/0588
BTX/2001/0592,The Thames,B016R,London PHA,TQ937749,Barton Point,2001-09-24,2001-09-25,2001-09-25,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0592
BTX/2001/0601,Thames,,Canterbury CC,,Spaniard,2001-09-25,2001-09-26,,Oysters,ND,,NEGATIVE,,BTX/2001/0601
BTX/2001/0589,Thames,B17AD,Thanet DC,TR274697,Minnis Bay,2001-09-24,2001-09-25,,Cockles,,,NEGATIVE,,BTX/2001/0589
BTX/2001/0590,The Solent,B024B,Isle of Wight Council,SZ579940,Mother Bank,2001-09-24,2001-09-25,2001-09-25,Native oyster,ND,,NEGATIVE,<LOD,BTX/2001/0590
BTX/2001/0591,The Solent,B063B,Isle of Wight Council,SZ501951,Medina Wharf,2001-09-24,2001-09-25,2001-09-25,Native oyster,ND,,,<LOD,BTX/2001/0591
BTX/2001/0585,Beaulieu,B023A,New Forest DC,SU40850019,Bucklers Hard,2001-09-19,2001-09-20,2001-09-20,Native oysters,ND,,,<LOD,BTX/2001/0585
BTX/2001/0603,Poole,B054Q,Poole Borough Council,SZ064858,Hook Sands,2001-09-25,2001-09-26,2001-09-26,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0603
BTX/2001/0574,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2001-09-18,2001-09-19,,Mussels,Reported,,,<LOD,BTX/2001/0574
BTX/2001/0575,Fowey,B070I,Fowey PHA,SX13405165,Pont Pill No 34,2001-09-18,2001-09-19,,Pacific oysters,Last week,,,<LOD,BTX/2001/0575
BTX/2001/0600,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansac,2001-09-25,2001-09-26,2001-09-26,Native oysters,ND,,NEGATIVE,<LOD,BTX/2001/0600
BTX/2001/0602,Bigbury and Avon,B030C,South hams DC,SX67254489,Hexdown Quay,2001-09-25,2001-09-26,2001-09-26,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0602
BTX/2001/0599,Bigbury and Avon,B030C,South Hams DC,SX67254489,Hexdown Quay,2001-09-25,2001-09-26,2001-09-26,Pacific oyster,ND,,NEGATIVE,<LOD,BTX/2001/0599
BTX/2001/0582,,,North Devon DC,,Yelland Power Station,2001-09-17,2001-09-20,,,ND,,NEGATIVE,,BTX/2001/0582
BTX/2001/0584,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2001-09-19,2001-09-20,2001-09-20,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0584
BTX/2001/0593,Burry Inlet,B038A,Carmarthenshire C C,SS500974,Site 4 North (East),2001-09-24,2001-09-25,,Cockles,,,NEGATIVE,,BTX/2001/0593
BTX/2001/0594,Burry Inlet,B038B,Carmarthenshire C C,SS483996,Site 4 North (West),2001-09-24,2001-09-25,,Cockles,,POSITIVE,,,BTX/2001/0594
BTX/2001/0595,Burry Inlet,B038G,Carmarthenshire C C,SS498981,Machynys,2001-09-24,2001-09-25,,Cockles,,,NEGATIVE,,BTX/2001/0595
BTX/2001/0606,Burry Inlet,B038I,City and Council of Swansea,,South side (East),2001-09-25,2001-09-27,,Cockles,,,NEGATIVE,,BTX/2001/0606
BTX/2001/0607,Burry Inlet,B038K,City and Council of Swansea,SS487959,South side (Mid),2001-09-25,2001-09-27,,Cockles,,POSITIVE,,,BTX/2001/0607
BTX/2001/0608,Burry Inlet,B038j,City and Council of Swansea,,South side (West),2001-09-25,2001-09-27,,Cockles,,,NEGATIVE,,BTX/2001/0608
BTX/2001/0609,Burry Inlet,,City and Council of Swansea,,Ochor Draw,2001-09-25,2001-09-27,,Cockles,,,NEGATIVE,,BTX/2001/0609
BTX/2001/0598,Colwyn Bay,B069C,Conwy County BC,SH897786,Llanddulas,2001-09-25,2001-09-26,2001-09-26,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0598
BTX/2001/0597,Conwy,B044H,Conwy County BC,SH761797,Morfa,2001-09-25,2001-09-26,2001-09-26,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0597
BTX/2001/0583,Bangor,B055F,Gwynedd County BC,SH59407412,Menai Strait - East,2001-09-17,2001-09-20,,Mussels,ND,,,,BTX/2001/0583
BTX/2001/0596,Ravenglass,B053C,Copeland DC,SD08359610,Ravenglass 2,2001-09-24,2001-09-25,2001-09-25,Mussels,ND,,NEGATIVE,<LOD,BTX/2001/0596
BTX/2001/0586,Lune,B066H,Wyre BC,SD33105190,Wyre End Scar,2001-09-20,2001-09-21,2001-09-21,Mussels,,,NEGATIVE,<LOD,BTX/2001/0586
616,The Wash,B004F,Kings Lynn & W Norfolk BC,TF602342,Pandora,2001-10-01,2001-10-02,2001-10-02,Mussels,ND,,NEGATIVE,<LOD,616
617,The Wash,,Kings Lynn & W Norfolk BC,,Dasleys,2001-10-01,2001-10-02,2001-10-02,Mussels,,,NEGATIVE,<LOD,617
626,The Wash,B003D,Boston Borough Council,TF439377,The Gat,2001-10-02,2001-10-03,2001-10-03,Mussels,ND,,NEGATIVE,<LOD,626
627,The Wash,,Boston Borough Council,,Friskney,2001-10-02,2001-10-03,2001-10-03,Cockles,ND,,NEGATIVE,<LOD,627
628,Walton Backwaters,B011G,Tendering DC ,TM22142478,Kirby Creek,2001-10-02,2001-10-03,2001-10-03,Native oyster,ND,,NEGATIVE,<LOD,628
629,Colne,B012G,Colchester BC,TM070139,Wreck Marker,2001-10-02,2001-10-03,2001-10-03,Mussels,ND,,NEGATIVE,<LOD,629
612,Blackwater,B013F,Maldon DC,TL98611115,Tollesbury North Fleet,2001-09-27,2001-10-01,2001-10-01,Native oyster,ND,,,<LOD,612
621,Roach,B)73H,London PHA,,Paglesham Reach,2001-10-01,2001-10-02,2001-10-02,Native oyster,ND,,NEGATIVE,<LOD,621
633,The Thames,B16BR,London PHA,TQ92208250,Phoenix,2001-10-02,2001-10-03,2001-10-03,Cockles,ND,,NEGATIVE,<LOD,633
634,The Thames,B16BI,London PHA,TR06009180,N E Maplin Sands 2,2001-10-02,2001-10-03,2001-10-03,Cockles,ND,POSITIVE,,<LOD,634
635,The Thames,B16BQ,London PHA,TM08800210,Buxey No 4,2001-10-02,2001-10-03,2001-10-03,Cockles,ND,,NEGATIVE,<LOD,635
618,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-10-01,2001-10-02,2001-10-02,Pacific oyster,,,NEGATIVE,<LOD,618
619,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-10-01,2001-10-02,2001-10-02,Cockles,,,NEGATIVE,<LOD,619
620,The Thames,B17AM,Canterbury CC,TR082669,Pollard,2001-10-01,2001-10-02,2001-10-02,Clam,,,NEGATIVE,<LOD,620
625,Weymouth Inner Harbour,,Weymouth PHA,,Inner Harbour,2001-10-01,2001-10-02,,Mussels,ND,,NEGATIVE,,625
613,St Ives Bay,B088B,Penwith DC,SW58134283,Godrevy Cove,2001-10-01,2001-10-02,2001-10-02,Mussels,ND,,NEGATIVE,<LOD,613
614,St Ives Bay,B088E,Penwith DC,SW53403880,Carrack Gladden,2001-10-01,2001-10-02,2001-10-02,Mussels,ND,,NEGATIVE,<LOD,614
611,Teign,B027V,Teignbridge DC,SX91417275,Gappa Bank,2001-09-27,2001-09-28,2001-09-28,Mussels,ND,,NEGATIVE,<LOD,611
630,Camel,B035J,North Cornwall DC,SW939747,Gentle Jane,2001-10-02,2001-10-03,2001-10-03,Mussels,ND,,NEGATIVE,,630
